"Code","Name","Document","CreatedAt","UpdatedAt","DeletedAt","IsDeleted"
"001","BANCO DO BRASIL","00.000.000/0001-91","2017-04-19 15:52:42.400",,,false
"341","ITAÚ","","2017-04-19 15:53:59.107",,,false
"104","CAIXA ECONÔMICA FEDERAL","","2017-04-19 15:54:41.200",,,false
"033","SANTANDER","","2017-04-19 15:55:59.197",,,false
"070","BRB - BANCO DE BRASÍLIA","","2017-04-19 15:58:17.387",,,false
"077","BANCO INTER","00.416.968/0001-01","2017-04-19 15:58:39.887","2020-04-29 11:08:00.000",,false
"237","BRADESCO","","2017-04-19 16:00:31.407",,,false
"745","CITIBANK","","2017-04-19 16:01:50.353",,,false
"422","BANCO SAFRA","","2017-04-19 16:04:20.790",,,false
"399","BANCO HSBC","","2017-04-19 16:05:20.353",,,false
"756","BANCOOB","","2017-08-01 22:29:11.827",,,false
"212","BANCO ORIGINAL","","2017-10-11 20:33:06.803",,,false
"002","BANCO CENTRAL DO BRASIL","","2018-01-29 15:12:24.270",,,false
"003","BANCO DA AMAZONIA S.A","","2018-01-29 15:12:24.270",,,false
"004","BANCO DO NORDESTE DO BRASIL S.A","","2018-01-29 15:12:24.270",,,false
"007","BANCO NAC DESENV. ECO. SOCIAL S.A","","2018-01-29 15:12:24.270",,,false
"008","BANCO MERIDIONAL DO BRASIL","","2018-01-29 15:12:24.270",,,false
"020","BANCO DO ESTADO DE ALAGOAS S.A","","2018-01-29 15:12:24.270",,,false
"021","BANCO DO ESTADO DO ESPIRITO SANTO S.A","","2018-01-29 15:12:24.270",,,false
"022","BANCO DE CREDITO REAL DE MINAS GERAIS SA","","2018-01-29 15:12:24.273",,,false
"024","BANCO DO ESTADO DE PERNAMBUCO","","2018-01-29 15:12:24.273",,,false
"025","BANCO ALFA S/A","","2018-01-29 15:12:24.273",,,false
"026","BANCO DO ESTADO DO ACRE S.A","","2018-01-29 15:12:24.273",,,false
"027","BANCO DO ESTADO DE SANTA CATARINA S.A","","2018-01-29 15:12:24.273",,,false
"028","BANCO DO ESTADO DA BAHIA S.A","","2018-01-29 15:12:24.277",,,false
"029","BANCO DO ESTADO DO RIO DE JANEIRO S.A","","2018-01-29 15:12:24.277",,,false
"030","BANCO DO ESTADO DA PARAIBA S.A","","2018-01-29 15:12:24.277",,,false
"031","BANCO DO ESTADO DE GOIAS S.A","","2018-01-29 15:12:24.277",,,false
"032","BANCO DO ESTADO DO MATO GROSSO S.A.","","2018-01-29 15:12:24.277",,,false
"034","BANCO DO ESADO DO AMAZONAS S.A","","2018-01-29 15:12:24.280",,,false
"035","BANCO DO ESTADO DO CEARA S.A","","2018-01-29 15:12:24.280",,,false
"036","BANCO DO ESTADO DO MARANHAO S.A","","2018-01-29 15:12:24.280",,,false
"037","BANCO DO ESTADO DO PARA S.A","","2018-01-29 15:12:24.280",,,false
"038","BANCO DO ESTADO DO PARANA S.A","","2018-01-29 15:12:24.280",,,false
"039","BANCO DO ESTADO DO PIAUI S.A","","2018-01-29 15:12:24.280",,,false
"041","BANCO DO ESTADO DO RIO GRANDE DO SUL S.A","","2018-01-29 15:12:24.283",,,false
"047","BANCO DO ESTADO DE SERGIPE S.A","","2018-01-29 15:12:24.283",,,false
"048","BANCO DO ESTADO DE MINAS GERAIS S.A","","2018-01-29 15:12:24.283",,,false
"059","BANCO DO ESTADO DE RONDONIA S.A","","2018-01-29 15:12:24.283",,,false
"106","BANCO ITABANCO S.A.","","2018-01-29 15:12:24.287",,,false
"107","BANCO BBM S.A","","2018-01-29 15:12:24.287",,,false
"109","BANCO CREDIBANCO S.A","","2018-01-29 15:12:24.290",,,false
"116","BANCO B.N.L DO BRASIL S.A","","2018-01-29 15:12:24.290",,,false
"148","MULTI BANCO S.A","","2018-01-29 15:12:24.290",,,false
"151","CAIXA ECONOMICA DO ESTADO DE SAO PAULO","","2018-01-29 15:12:24.290",,,false
"153","CAIXA ECONOMICA DO ESTADO DO R.G.SUL","","2018-01-29 15:12:24.290",,,false
"165","BANCO NORCHEM S.A","","2018-01-29 15:12:24.290",,,false
"166","BANCO INTER-ATLANTICO S.A","","2018-01-29 15:12:24.293",,,false
"168","BANCO C.C.F. BRASIL S.A","","2018-01-29 15:12:24.293",,,false
"175","CONTINENTAL BANCO S.A","","2018-01-29 15:12:24.293",,,false
"184","BBA - CREDITANSTALT S.A","","2018-01-29 15:12:24.293",,,false
"197","STONE PAGAMENTOS S.A.","16.501.555/0002-38","2020-04-24 12:58:00.000",,,false
"199","BANCO FINANCIAL PORTUGUES","","2018-01-29 15:12:24.293",,,false
"200","BANCO FRICRISA AXELRUD S.A","","2018-01-29 15:12:24.297",,,false
"201","BANCO AUGUSTA INDUSTRIA E COMERCIAL S.A","","2018-01-29 15:12:24.297",,,false
"204","BANCO S.R.L S.A","","2018-01-29 15:12:24.297",,,false
"205","BANCO SUL AMERICA S.A","","2018-01-29 15:12:24.297",,,false
"206","BANCO MARTINELLI S.A","","2018-01-29 15:12:24.297",,,false
"208","BANCO PACTUAL S.A","","2018-01-29 15:12:24.300",,,false
"210","DEUTSCH SUDAMERIKANICHE BANK AG","","2018-01-29 15:12:24.300",,,false
"211","BANCO SISTEMA S.A","","2018-01-29 15:12:24.300",,,false
"213","BANCO ARBI S.A","","2018-01-29 15:12:24.300",,,false
"214","BANCO DIBENS S.A","","2018-01-29 15:12:24.303",,,false
"215","BANCO AMERICA DO SUL S.A","","2018-01-29 15:12:24.303",,,false
"216","BANCO REGIONAL MALCON S.A","","2018-01-29 15:12:24.303",,,false
"217","BANCO AGROINVEST S.A","","2018-01-29 15:12:24.303",,,false
"218","BS2","71.027.866/0001-34","2018-01-29 15:12:24.303","2019-05-21 08:14:51.000",,false
"219","BANCO DE CREDITO DE SAO PAULO S.A","","2018-01-29 15:12:24.307",,,false
"220","BANCO CREFISUL","","2018-01-29 15:12:24.307",,,false
"221","BANCO GRAPHUS S.A","","2018-01-29 15:12:24.307",,,false
"222","BANCO AGF BRASIL S. A.","","2018-01-29 15:12:24.307",,,false
"223","BANCO INTERUNION S.A","","2018-01-29 15:12:24.307",,,false
"224","BANCO FIBRA S.A","","2018-01-29 15:12:24.307",,,false
"225","BANCO BRASCAN S.A","","2018-01-29 15:12:24.310",,,false
"228","BANCO ICATU S.A","","2018-01-29 15:12:24.310",,,false
"229","BANCO CRUZEIRO S.A","","2018-01-29 15:12:24.310",,,false
"230","BANCO BANDEIRANTES S.A","","2018-01-29 15:12:24.310",,,false
"231","BANCO BOAVISTA S.A","","2018-01-29 15:12:24.310",,,false
"232","BANCO INTERPART S.A","","2018-01-29 15:12:24.310",,,false
"233","BANCO MAPPIN S.A","","2018-01-29 15:12:24.313",,,false
"234","BANCO LAVRA S.A.","","2018-01-29 15:12:24.313",,,false
"235","BANCO LIBERAL S.A","","2018-01-29 15:12:24.313",,,false
"236","BANCO CAMBIAL S.A","","2018-01-29 15:12:24.313",,,false
"239","BANCO BANCRED S.A","","2018-01-29 15:12:24.317",,,false
"240","BANCO DE CREDITO REAL DE MINAS GERAIS S.","","2018-01-29 15:12:24.317",,,false
"241","BANCO CLASSICO S.A","","2018-01-29 15:12:24.317",,,false
"242","BANCO EUROINVEST S.A","","2018-01-29 15:12:24.317",,,false
"243","BANCO MÁXIMA S.A","33.923.798/0001-00","2018-01-29 15:12:24.317","2020-03-20 17:00:00.000",,false
"244","BANCO CIDADE S.A","","2018-01-29 15:12:24.320",,,false
"245","BANCO EMPRESARIAL S.A","","2018-01-29 15:12:24.320",,,false
"246","BANCO ABC ROMA S.A","","2018-01-29 15:12:24.320",,,false
"247","BANCO OMEGA S.A","","2018-01-29 15:12:24.320",,,false
"249","BANCO INVESTCRED S.A","","2018-01-29 15:12:24.320",,,false
"250","BANCO SCHAHIN CURY S.A","","2018-01-29 15:12:24.320",,,false
"251","BANCO SAO JORGE S.A.","","2018-01-29 15:12:24.323",,,false
"252","BANCO FININVEST S.A","","2018-01-29 15:12:24.323",,,false
"254","BANCO PARANA BANCO S.A","","2018-01-29 15:12:24.323",,,false
"255","MILBANCO S.A.","","2018-01-29 15:12:24.323",,,false
"256","BANCO GULVINVEST S.A","","2018-01-29 15:12:24.323",,,false
"258","BANCO INDUSCRED S.A","","2018-01-29 15:12:24.327",,,false
"261","BANCO VARIG S.A","","2018-01-29 15:12:24.327",,,false
"262","BANCO BOREAL S.A","","2018-01-29 15:12:24.327",,,false
"263","BANCO CACIQUE","","2018-01-29 15:12:24.327",,,false
"264","BANCO PERFORMANCE S.A","","2018-01-29 15:12:24.330",,,false
"265","BANCO FATOR S.A","","2018-01-29 15:12:24.330",,,false
"266","BANCO CEDULA S.A","","2018-01-29 15:12:24.330",,,false
"267","BANCO BBM-COM.C.IMOB.CFI S.A.","","2018-01-29 15:12:24.330",,,false
"275","BANCO REAL S.A","","2018-01-29 15:12:24.330",,,false
"277","BANCO PLANIBANC S.A","","2018-01-29 15:12:24.330",,,false
"282","BANCO BRASILEIRO COMERCIAL","","2018-01-29 15:12:24.330",,,false
"291","BANCO DE CREDITO NACIONAL S.A","","2018-01-29 15:12:24.333",,,false
"294","BCR - BANCO DE CREDITO REAL S.A","","2018-01-29 15:12:24.333",,,false
"295","BANCO CREDIPLAN S.A","","2018-01-29 15:12:24.333",,,false
"300","BANCO DE LA NACION ARGENTINA S.A","","2018-01-29 15:12:24.333",,,false
"302","BANCO DO PROGRESSO S.A","","2018-01-29 15:12:24.337",,,false
"303","BANCO HNF S.A.","","2018-01-29 15:12:24.337",,,false
"304","BANCO PONTUAL S.A","","2018-01-29 15:12:24.337",,,false
"308","BANCO COMERCIAL BANCESA S.A.","","2018-01-29 15:12:24.337",,,false
"318","BANCO B.M.G. S.A","","2018-01-29 15:12:24.337",,,false
"320","BANCO INDUSTRIAL E COMERCIAL","","2018-01-29 15:12:24.340",,,false
"346","BANCO FRANCES E BRASILEIRO S.A","","2018-01-29 15:12:24.340",,,false
"347","BANCO SUDAMERIS BRASIL S.A","","2018-01-29 15:12:24.340",,,false
"351","BANCO BOZANO SIMONSEN S.A","","2018-01-29 15:12:24.340",,,false
"353","BANCO GERAL DO COMERCIO S.A","","2018-01-29 15:12:24.340",,,false
"356","ABN AMRO S.A","","2018-01-29 15:12:24.340",,,false
"366","BANCO SOGERAL S.A","","2018-01-29 15:12:24.343",,,false
"369","PONTUAL","","2018-01-29 15:12:24.343",,,false
"370","BEAL - BANCO EUROPEU PARA AMERICA LATINA","","2018-01-29 15:12:24.343",,,false
"372","BANCO ITAMARATI S.A","","2018-01-29 15:12:24.347",,,false
"375","BANCO FENICIA S.A","","2018-01-29 15:12:24.347",,,false
"376","CHASE MANHATTAN BANK S.A","","2018-01-29 15:12:24.347",,,false
"388","BANCO MERCANTIL DE DESCONTOS S/A","","2018-01-29 15:12:24.347",,,false
"389","BANCO MERCANTIL DO BRASIL S.A","","2018-01-29 15:12:24.347",,,false
"392","BANCO MERCANTIL DE SAO PAULO S.A","","2018-01-29 15:12:24.350",,,false
"394","BANCO B.M.C. S.A","","2018-01-29 15:12:24.350",,,false
"409","UNIBANCO - UNIAO DOS BANCOS BRASILEIROS","","2018-01-29 15:12:24.350",,,false
"412","BANCO NACIONAL DA BAHIA S.A","","2018-01-29 15:12:24.350",,,false
"415","BANCO NACIONAL S.A","","2018-01-29 15:12:24.350",,,false
"420","BANCO NACIONAL DO NORTE S.A","","2018-01-29 15:12:24.350",,,false
"424","BANCO NOROESTE S.A","","2018-01-29 15:12:24.353",,,false
"434","BANCO FORTALEZA S.A","","2018-01-29 15:12:24.353",,,false
"453","BANCO RURAL S.A","","2018-01-29 15:12:24.353",,,false
"456","BANCO TOKIO S.A","","2018-01-29 15:12:24.353",,,false
"464","BANCO SUMITOMO BRASILEIRO S.A","","2018-01-29 15:12:24.357",,,false
"466","BANCO MITSUBISHI BRASILEIRO S.A","","2018-01-29 15:12:24.357",,,false
"472","LLOYDS BANK PLC","","2018-01-29 15:12:24.357",,,false
"473","BANCO FINANCIAL PORTUGUES S.A","","2018-01-29 15:12:24.357",,,false
"477","CITIBANK N.A","","2018-01-29 15:12:24.357",,,false
"479","BANCO DE BOSTON S.A","","2018-01-29 15:12:24.360",,,false
"480","BANCO PORTUGUES DO ATLANTICO-BRASIL S.A","","2018-01-29 15:12:24.360",,,false
"483","BANCO AGRIMISA S.A.","","2018-01-29 15:12:24.360",,,false
"487","DEUTSCHE BANK S.A - BANCO ALEMAO","","2018-01-29 15:12:24.360",,,false
"488","BANCO J. P. MORGAN S.A","","2018-01-29 15:12:24.360",,,false
"489","BANESTO BANCO URUGAUAY S.A","","2018-01-29 15:12:24.360",,,false
"492","INTERNATIONALE NEDERLANDEN BANK N.V.","","2018-01-29 15:12:24.363",,,false
"493","BANCO UNION S.A.C.A","","2018-01-29 15:12:24.363",,,false
"494","BANCO LA REP. ORIENTAL DEL URUGUAY","","2018-01-29 15:12:24.363",,,false
"495","BANCO LA PROVINCIA DE BUENOS AIRES","","2018-01-29 15:12:24.363",,,false
"496","BANCO EXTERIOR DE ESPANA S.A","","2018-01-29 15:12:24.363",,,false
"498","CENTRO HISPANO BANCO","","2018-01-29 15:12:24.367",,,false
"499","BANCO IOCHPE S.A","","2018-01-29 15:12:24.367",,,false
"501","BANCO BRASILEIRO IRAQUIANO S.A.","","2018-01-29 15:12:24.367",,,false
"502","BANCO SANTANDER S.A","","2018-01-29 15:12:24.367",,,false
"504","BANCO MULTIPLIC S.A","","2018-01-29 15:12:24.367",,,false
"505","BANCO GARANTIA S.A","","2018-01-29 15:12:24.370",,,false
"600","BANCO LUSO BRASILEIRO S.A","","2018-01-29 15:12:24.370",,,false
"601","BFC BANCO S.A.","","2018-01-29 15:12:24.370",,,false
"602","BANCO PATENTE S.A","","2018-01-29 15:12:24.370",,,false
"604","BANCO INDUSTRIAL DO BRASIL S.A","","2018-01-29 15:12:24.370",,,false
"607","BANCO SANTOS NEVES S.A","","2018-01-29 15:12:24.373",,,false
"608","BANCO OPEN S.A","","2018-01-29 15:12:24.373",,,false
"610","BANCO V.R. S.A","","2018-01-29 15:12:24.373",,,false
"611","BANCO PAULISTA S.A","","2018-01-29 15:12:24.373",,,false
"612","BANCO GUANABARA S.A","","2018-01-29 15:12:24.377",,,false
